Date,Type,Category,Product,COGS_Unit,Quantity,Sale_Price,Total_Revenue,Total_Profit
2024-02-17,Sales,Bakery,Chocolate Cake (500g),350.0,2,550.0,1100.0,400.0
2024-02-17,Sales,Produce,Lady Finger (500g),25.0,2,45.0,90.0,40.0
2024-02-17,Sales,Produce,Desi Tomatoes (1kg),30.0,5,50.0,250.0,100.0
2024-02-17,Sales,Produce,Bananas (12 units),40.0,5,60.0,300.0,100.0
2024-02-17,Sales,Meat,Chicken Keema (500g),150.0,4,240.0,960.0,360.0
2024-02-17,Sales,Produce,Green Chillies (100g),10.0,2,20.0,40.0,20.0
2024-02-17,Sales,Dairy,Amul Butter (500g),240.0,3,285.0,855.0,135.0
2024-02-17,Sales,Dairy,Probiotic Drink (5pk),60.0,3,85.0,255.0,75.0
2024-02-17,Sales,Dairy,Amul Butter (500g),240.0,4,285.0,1140.0,180.0
2024-02-17,Sales,Others,Sugar (1kg),42.0,2,55.0,110.0,26.0
2024-02-17,Sales,Others,Sugar (1kg),42.0,1,55.0,55.0,13.0
2024-02-17,Sales,Others,Marie Biscuit (Pack),25.0,4,40.0,160.0,60.0
2024-02-17,Sales,Dairy,Flavoured Milk (200ml),25.0,5,40.0,200.0,75.0
2024-02-17,Sales,Dairy,Probiotic Drink (5pk),60.0,1,85.0,85.0,25.0
2024-02-17,Sales,Others,Marie Biscuit (Pack),25.0,1,40.0,40.0,15.0
2024-02-17,Expenses,Rent,Monthly Shop Rent,0.0,1,0.0,0.0,-50000.0
2024-02-17,Expenses,Salaries,Staff Payroll,0.0,1,0.0,0.0,-120000.0
2024-02-17,Expenses,Insurance,Business Insurance Premium,0.0,1,0.0,0.0,-5000.0
2024-02-17,Expenses,Taxes,Monthly GST Payment,0.0,1,0.0,0.0,-15635.214008324276
2024-02-17,Expenses,Marketing,Social Media Boost,0.0,1,0.0,0.0,-444.64688404694425
2024-02-17,Expenses,Others,Transport/Logistics,0.0,1,0.0,0.0,-170.6043914296148
2024-02-17,Expenses,Utilities,Generator Fuel,0.0,1,0.0,0.0,-160.62162229981587
2024-02-17,Expenses,Supplies,Office Stationary,0.0,1,0.0,0.0,-143.1465390604707
2024-02-17,Expenses,Maintenance,Waste Disposal,0.0,1,0.0,0.0,-724.1159481079069
2024-02-17,Sales,Others,Maggi Noodles (Pack of 12),140.0,5,168.0,840.0,140.0
2024-02-17,Sales,Meat,Chicken Curry Cut (1kg),180.0,3,260.0,780.0,240.0
2024-02-17,Sales,Meat,Bacon Strips (200g),250.0,3,420.0,1260.0,510.0
2024-02-17,Sales,Produce,Red Onions (1kg),35.0,4,50.0,200.0,60.0
2024-02-17,Sales,Dairy,Ghee (1L),550.0,4,680.0,2720.0,520.0
2024-02-17,Sales,Meat,Bacon Strips (200g),250.0,5,420.0,2100.0,850.0
2024-02-17,Sales,Dairy,Greek Yogurt - Plain (200g),45.0,2,70.0,140.0,50.0
2024-02-17,Sales,Meat,Bacon Strips (200g),250.0,5,420.0,2100.0,850.0
2024-02-17,Sales,Meat,Mutton/Lamb (1kg),750.0,1,950.0,950.0,200.0
2024-02-17,Sales,Dairy,Buttermilk/Chaas (500ml),15.0,2,25.0,50.0,20.0
2024-02-17,Sales,Others,Garam Masala (100g),50.0,4,90.0,360.0,160.0
2024-02-17,Sales,Others,Ashirvaad Atta (5kg),245.0,4,295.0,1180.0,200.0
2024-02-17,Sales,Meat,Pork Sausages (500g),280.0,3,450.0,1350.0,510.0
2024-02-17,Sales,Others,Marie Biscuit (Pack),25.0,2,40.0,80.0,30.0
2024-02-17,Sales,Meat,Chicken Drumsticks (500g),140.0,1,220.0,220.0,80.0
2024-02-17,Sales,Bakery,Veg Patty (Piece),15.0,2,30.0,60.0,30.0
2024-02-17,Sales,Bakery,Fruit Bun (2pk),20.0,5,35.0,175.0,75.0
2024-02-17,Sales,Dairy,Amul Butter (500g),240.0,5,285.0,1425.0,225.0
2024-02-17,Sales,Produce,Ginger (100g),15.0,5,30.0,150.0,75.0
2024-02-17,Sales,Dairy,Skimmed Milk Powder (500g),220.0,5,310.0,1550.0,450.0
2024-02-17,Sales,Others,Dishwash Liquid (500ml),85.0,1,130.0,130.0,45.0
2024-02-17,Sales,Dairy,Mozzarella Cheese (200g),115.0,1,190.0,190.0,75.0
2024-02-17,Sales,Meat,Rohu Fish (1kg),160.0,4,240.0,960.0,320.0
2024-02-17,Sales,Bakery,Chocolate Cake (500g),350.0,2,550.0,1100.0,400.0
2024-02-17,Sales,Meat,Bacon Strips (200g),250.0,3,420.0,1260.0,510.0
2024-02-17,Sales,Bakery,Fruit Bun (2pk),20.0,2,35.0,70.0,30.0
2024-02-17,Sales,Meat,Katla Fish (1kg),190.0,1,280.0,280.0,90.0
2024-02-17,Sales,Produce,Green Peas (500g),40.0,2,70.0,140.0,60.0
2024-02-18,Sales,Dairy,Cheese Slices (10pk),130.0,3,175.0,525.0,135.0
2024-02-18,Sales,Dairy,Buttermilk/Chaas (500ml),15.0,2,25.0,50.0,20.0
2024-02-18,Sales,Bakery,Milk Bread (Large),35.0,5,45.0,225.0,50.0
2024-02-18,Sales,Meat,Bacon Strips (200g),250.0,3,420.0,1260.0,510.0
2024-02-18,Sales,Meat,Chicken Curry Cut (1kg),180.0,3,260.0,780.0,240.0
2024-02-18,Sales,Bakery,Milk Bread (Large),35.0,3,45.0,135.0,30.0
2024-02-18,Sales,Meat,Pomfret Fish (Piece),250.0,5,450.0,2250.0,1000.0
2024-02-18,Sales,Bakery,Brown Bread (Large),45.0,3,60.0,180.0,45.0
2024-02-18,Sales,Dairy,Skimmed Milk Powder (500g),220.0,4,310.0,1240.0,360.0
2024-02-18,Sales,Others,Sugar (1kg),42.0,3,55.0,165.0,39.0
2024-02-18,Sales,Bakery,Pav Bun (6pk),25.0,3,40.0,120.0,45.0
2024-02-18,Sales,Meat,Chicken Keema (500g),150.0,3,240.0,720.0,270.0
2024-02-18,Sales,Produce,Spinach/Palak (Bunch),15.0,3,25.0,75.0,30.0
2024-02-18,Expenses,Marketing,Local Pamphlets,0.0,1,0.0,0.0,-687.9008004931748
2024-02-18,Sales,Meat,Mutton/Lamb (1kg),750.0,4,950.0,3800.0,800.0
2024-02-18,Sales,Meat,Chicken Curry Cut (1kg),180.0,2,260.0,520.0,160.0
2024-02-18,Expenses,Maintenance,Light Repair,0.0,1,0.0,0.0,-452.4201163219186
2024-02-18,Expenses,Others,Loading/Unloading,0.0,1,0.0,0.0,-130.4705485812649
2024-02-18,Expenses,Marketing,Display Signs,0.0,1,0.0,0.0,-663.1537770878158
2024-02-18,Expenses,Others,Staff Tea/Snacks,0.0,1,0.0,0.0,-187.4265370990568
2024-02-18,Expenses,Supplies,Cleaning Agents,0.0,1,0.0,0.0,-103.7005813404507
2024-02-18,Expenses,Maintenance,Waste Disposal,0.0,1,0.0,0.0,-402.6007449712057
2024-02-18,Expenses,Maintenance,Light Repair,0.0,1,0.0,0.0,-413.91489872605484
2024-02-18,Expenses,Others,Staff Tea/Snacks,0.0,1,0.0,0.0,-275.05732087315846
2024-02-18,Expenses,Others,Petty Cash,0.0,1,0.0,0.0,-186.58073137297956
2024-02-18,Sales,Bakery,Eggless Vanilla Cake (500g),300.0,5,450.0,2250.0,750.0
2024-02-18,Sales,Dairy,Condensed Milk (400g),125.0,3,160.0,480.0,105.0
2024-02-18,Sales,Bakery,Paneer Puff (Piece),18.0,1,35.0,35.0,17.0
2024-02-18,Sales,Bakery,Garlic Toast (Pack),50.0,2,90.0,180.0,80.0
2024-02-18,Sales,Dairy,Probiotic Drink (5pk),60.0,1,85.0,85.0,25.0
2024-02-18,Sales,Meat,Tiger Shrimp (500g),400.0,5,650.0,3250.0,1250.0
2024-02-18,Sales,Produce,Papaya (1kg),40.0,1,70.0,70.0,30.0
2024-02-18,Sales,Meat,Eggs - Brown (dz),90.0,1,125.0,125.0,35.0
2024-02-18,Sales,Meat,Rohu Fish (1kg),160.0,1,240.0,240.0,80.0
2024-02-18,Sales,Others,Instant Coffee (50g),120.0,4,195.0,780.0,300.0
2024-02-18,Sales,Dairy,Condensed Milk (400g),125.0,3,160.0,480.0,105.0
2024-02-18,Sales,Meat,Pomfret Fish (Piece),250.0,3,450.0,1350.0,600.0
2024-02-18,Sales,Meat,Chicken Drumsticks (500g),140.0,2,220.0,440.0,160.0
2024-02-18,Sales,Bakery,Fruit Cake Slices (Pack),30.0,5,50.0,250.0,100.0
2024-02-18,Sales,Meat,Katla Fish (1kg),190.0,3,280.0,840.0,270.0
2024-02-18,Sales,Meat,Katla Fish (1kg),190.0,3,280.0,840.0,270.0
2024-02-18,Sales,Dairy,Buttermilk/Chaas (500ml),15.0,4,25.0,100.0,40.0
2024-02-18,Sales,Dairy,Ghee (1L),550.0,5,680.0,3400.0,650.0
2024-02-18,Sales,Bakery,Rusk / Toast (250g),40.0,2,65.0,130.0,50.0
2024-02-18,Sales,Others,Garam Masala (100g),50.0,1,90.0,90.0,40.0
2024-02-18,Sales,Bakery,Pav Bun (6pk),25.0,3,40.0,120.0,45.0
2024-02-18,Sales,Bakery,Nankhatai (250g),70.0,2,120.0,240.0,100.0
2024-02-18,Sales,Meat,Tiger Shrimp (500g),400.0,2,650.0,1300.0,500.0
2024-02-18,Sales,Bakery,Milk Bread (Large),35.0,1,45.0,45.0,10.0
2024-02-18,Sales,Produce,Green Peas (500g),40.0,1,70.0,70.0,30.0
