Date,Type,Category,Amount
2025-01-01,Sale,Others,207.48
2025-01-01,Sale,Others,56.03
2025-01-01,Sale,Others,357.28
2025-01-01,Sale,Others,217.52
2025-01-01,Sale,Others,491.76
2025-01-01,Sale,Others,110.6
2025-01-02,Sale,Others,447.2
2025-01-02,Sale,Others,51.89
2025-01-02,Sale,Others,203.36
2025-01-02,Sale,Others,518.5
2025-01-02,Sale,Others,482.94
2025-01-03,Sale,Others,52.35
2025-01-03,Sale,Others,364.56
2025-01-03,Expense,Salaries,5121.66
2025-01-03,Sale,Others,457.92
2025-01-03,Sale,Others,506.8
2025-01-03,Sale,Others,162.96
2025-01-03,Sale,Others,362.53
2025-01-04,Sale,Others,463.14
2025-01-04,Expense,Insurance,249.01
2025-01-04,Sale,Others,213.44
2025-01-04,Expense,Rent,2844.72
2025-01-05,Sale,Others,325.5
2025-01-05,Sale,Others,112.94
2025-01-06,Sale,Others,287.2
2025-01-07,Sale,Others,279.4
2025-01-07,Sale,Others,506.5
2025-01-07,Sale,Others,449.44
2025-01-08,Sale,Others,160.77
2025-01-08,Sale,Others,253.3
2025-01-08,Sale,Others,352.52
2025-01-08,Sale,Others,216.96
2025-01-08,Sale,Others,335.64
2025-01-09,Sale,Others,50.47
2025-01-09,Sale,Others,205.68
2025-01-09,Sale,Others,464.31
2025-01-09,Sale,Others,321.78
2025-01-09,Sale,Others,494.37
2025-01-09,Sale,Others,564.0
2025-01-09,Sale,Others,506.7
2025-01-10,Sale,Others,212.04
2025-01-10,Sale,Others,217.44
2025-01-10,Sale,Others,566.1
2025-01-10,Sale,Others,154.95
2025-01-11,Sale,Others,167.19
2025-01-11,Sale,Others,461.97
2025-01-11,Sale,Others,394.17
2025-01-11,Sale,Others,150.51
2025-01-12,Sale,Others,355.25
2025-01-12,Sale,Others,106.18
2025-01-12,Sale,Others,387.38
2025-01-12,Sale,Others,369.18
2025-01-12,Sale,Others,102.96
2025-01-12,Sale,Others,500.22
2025-01-13,Sale,Others,205.2
2025-01-13,Sale,Others,281.9
2025-01-13,Expense,Utilities,301.56
2025-01-13,Sale,Others,352.59
2025-01-13,Sale,Others,393.82
2025-01-13,Sale,Others,210.84
2025-01-13,Sale,Others,286.85
2025-01-14,Sale,Others,359.94
2025-01-15,Sale,Others,261.75
2025-01-15,Sale,Others,574.4
2025-01-15,Sale,Others,106.88
2025-01-15,Sale,Others,110.78
2025-01-16,Sale,Others,549.3
2025-01-16,Sale,Others,156.51
2025-01-16,Sale,Others,420.08
2025-01-16,Expense,Utilities,374.13
2025-01-16,Sale,Others,106.16
2025-01-16,Expense,Maintenance,220.24
2025-01-16,Sale,Others,151.62
2025-01-17,Sale,Others,456.21
2025-01-17,Sale,Others,374.36
2025-01-17,Sale,Others,509.67
2025-01-17,Sale,Others,400.08
2025-01-18,Expense,Others,175.06
2025-01-18,Sale,Others,353.29
2025-01-18,Expense,Supplies,466.57
2025-01-19,Expense,Rent,2945.56
2025-01-19,Sale,Others,160.47
2025-01-19,Sale,Others,568.2
2025-01-19,Sale,Others,163.23
2025-01-19,Sale,Others,478.17
2025-01-19,Sale,Others,51.77
2025-01-19,Sale,Others,107.86
2025-01-19,Sale,Others,401.73
2025-01-20,Sale,Others,312.18
2025-01-20,Expense,Rent,2570.11
2025-01-20,Sale,Others,334.26
2025-01-20,Sale,Others,574.8
2025-01-21,Sale,Others,53.24
2025-01-21,Sale,Others,150.33
2025-01-21,Sale,Others,321.12
2025-01-21,Sale,Others,325.8
2025-01-21,Sale,Others,555.9
2025-01-21,Sale,Others,355.95
2025-01-21,Sale,Others,208.16
2025-01-21,Sale,Others,446.08
2025-01-21,Expense,Others,167.71
2025-01-22,Sale,Others,385.14
2025-01-22,Sale,Others,328.86
2025-01-22,Sale,Others,430.0
2025-01-22,Sale,Others,387.73
2025-01-22,Sale,Others,306.54
2025-01-23,Sale,Others,168.63
2025-01-23,Sale,Others,110.94
2025-01-23,Sale,Others,214.12
2025-01-23,Sale,Others,56.21
2025-01-23,Sale,Others,155.16
2025-01-24,Sale,Others,521.0
2025-01-24,Sale,Others,204.88
2025-01-26,Sale,Others,100.1
2025-01-26,Sale,Others,424.8
2025-01-26,Expense,Utilities,566.13
2025-01-26,Sale,Others,57.19
2025-01-27,Sale,Others,161.91
2025-01-27,Sale,Others,160.53
2025-01-27,Expense,Salaries,5220.29
2025-01-27,Sale,Others,167.16
2025-01-27,Sale,Others,450.24
2025-01-28,Sale,Others,158.34
2025-01-28,Sale,Others,565.3
2025-01-28,Sale,Others,494.73
2025-01-28,Sale,Others,57.03
2025-01-28,Sale,Others,476.64
2025-01-28,Sale,Others,269.25
2025-01-28,Sale,Others,541.3
2025-01-29,Sale,Others,56.18
2025-01-29,Sale,Others,256.5
2025-01-29,Sale,Others,270.5
2025-01-29,Sale,Others,328.56
2025-01-30,Sale,Others,397.6
2025-01-30,Sale,Others,487.8
2025-01-30,Sale,Others,378.42
2025-01-30,Sale,Others,438.48
2025-01-30,Sale,Others,112.54
2025-01-30,Expense,Insurance,249.33
2025-01-30,Sale,Others,52.44
2025-01-30,Sale,Others,112.62
2025-01-30,Expense,Salaries,5439.97
2025-01-30,Sale,Others,165.42
2025-01-31,Expense,Insurance,259.81
2025-01-31,Sale,Others,217.76
2025-01-31,Sale,Others,559.7
2025-01-31,Sale,Others,452.48
2025-01-31,Sale,Others,475.74
2025-01-31,Sale,Others,381.22
2025-01-31,Sale,Others,57.08
2025-02-01,Expense,Salaries,4196.56
2025-02-01,Sale,Others,452.4
2025-02-01,Sale,Others,317.64
2025-02-01,Sale,Others,259.8
2025-02-01,Sale,Others,114.34
2025-02-01,Sale,Others,102.36
2025-02-02,Sale,Others,338.82
2025-02-02,Sale,Others,533.3
2025-02-02,Sale,Others,426.56
2025-02-02,Sale,Others,374.57
2025-02-02,Sale,Others,374.08
2025-02-02,Sale,Others,52.83
2025-02-03,Sale,Others,564.0
2025-02-03,Sale,Others,546.8
2025-02-03,Sale,Others,542.0
2025-02-03,Sale,Others,52.18
2025-02-04,Sale,Others,516.42
2025-02-04,Sale,Others,216.76
2025-02-04,Sale,Others,458.24
2025-02-04,Sale,Others,321.78
2025-02-04,Sale,Others,324.24
2025-02-04,Sale,Others,536.0
2025-02-04,Sale,Others,351.89
2025-02-04,Sale,Others,50.68
2025-02-05,Expense,Rent,2903.88
2025-02-05,Sale,Others,153.54
